country,date,cases,cases_lag_1,cases_lag_2,cases_lag_3,cases_lag_4,cases_lag_5,cases_lag_6,cases_lag_7,cases_lag_8,cases_lag_9,cases_lag_10,cases_lag_11,cases_lag_12,cases_lag_13,cases_lag_14,cases_lag_15,cases_lag_16,cases_lag_17,cases_lag_18,cases_lag_19
Italy,2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,2020-01-31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,2020-02-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,2020-02-02,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,2020-02-03,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,2020-02-04,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,2020-02-05,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,2020-02-06,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,2020-02-07,3,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Italy,2020-02-08,3,3,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
Italy,2020-02-09,3,3,3,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
Italy,2020-02-10,3,3,3,3,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
Italy,2020-02-11,3,3,3,3,3,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0
Italy,2020-02-12,3,3,3,3,3,3,2,2,2,2,2,2,2,0,0,0,0,0,0,0
Italy,2020-02-13,3,3,3,3,3,3,3,2,2,2,2,2,2,2,0,0,0,0,0,0
Italy,2020-02-14,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,0,0,0,0,0
Italy,2020-02-15,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,0,0,0,0
Italy,2020-02-16,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,0,0,0
Italy,2020-02-17,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,0,0
Italy,2020-02-18,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,0
Italy,2020-02-19,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
Italy,2020-02-20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
Italy,2020-02-21,20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2
Italy,2020-02-22,62,20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
Italy,2020-02-23,155,62,20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
Italy,2020-02-24,229,155,62,20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
Italy,2020-02-25,322,229,155,62,20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
Italy,2020-02-26,453,322,229,155,62,20,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Italy,2020-02-27,655,453,322,229,155,62,20,3,3,3,3,3,3,3,3,3,3,3,3,3
Italy,2020-02-28,888,655,453,322,229,155,62,20,3,3,3,3,3,3,3,3,3,3,3,3
Italy,2020-02-29,1128,888,655,453,322,229,155,62,20,3,3,3,3,3,3,3,3,3,3,3
Italy,2020-03-01,1694,1128,888,655,453,322,229,155,62,20,3,3,3,3,3,3,3,3,3,3
Italy,2020-03-02,2036,1694,1128,888,655,453,322,229,155,62,20,3,3,3,3,3,3,3,3,3
Italy,2020-03-03,2502,2036,1694,1128,888,655,453,322,229,155,62,20,3,3,3,3,3,3,3,3
Italy,2020-03-04,3089,2502,2036,1694,1128,888,655,453,322,229,155,62,20,3,3,3,3,3,3,3
Italy,2020-03-05,3858,3089,2502,2036,1694,1128,888,655,453,322,229,155,62,20,3,3,3,3,3,3
Italy,2020-03-06,4636,3858,3089,2502,2036,1694,1128,888,655,453,322,229,155,62,20,3,3,3,3,3
Italy,2020-03-07,5883,4636,3858,3089,2502,2036,1694,1128,888,655,453,322,229,155,62,20,3,3,3,3
Italy,2020-03-08,7375,5883,4636,3858,3089,2502,2036,1694,1128,888,655,453,322,229,155,62,20,3,3,3
Italy,2020-03-09,9172,7375,5883,4636,3858,3089,2502,2036,1694,1128,888,655,453,322,229,155,62,20,3,3
Italy,2020-03-10,10149,9172,7375,5883,4636,3858,3089,2502,2036,1694,1128,888,655,453,322,229,155,62,20,3
Italy,2020-03-11,12462,10149,9172,7375,5883,4636,3858,3089,2502,2036,1694,1128,888,655,453,322,229,155,62,20
Italy,2020-03-12,12462,12462,10149,9172,7375,5883,4636,3858,3089,2502,2036,1694,1128,888,655,453,322,229,155,62
Italy,2020-03-13,17660,12462,12462,10149,9172,7375,5883,4636,3858,3089,2502,2036,1694,1128,888,655,453,322,229,155
Italy,2020-03-14,21157,17660,12462,12462,10149,9172,7375,5883,4636,3858,3089,2502,2036,1694,1128,888,655,453,322,229
Italy,2020-03-15,24747,21157,17660,12462,12462,10149,9172,7375,5883,4636,3858,3089,2502,2036,1694,1128,888,655,453,322
Italy,2020-03-16,27980,24747,21157,17660,12462,12462,10149,9172,7375,5883,4636,3858,3089,2502,2036,1694,1128,888,655,453
Italy,2020-03-17,31506,27980,24747,21157,17660,12462,12462,10149,9172,7375,5883,4636,3858,3089,2502,2036,1694,1128,888,655
Italy,2020-03-18,35713,31506,27980,24747,21157,17660,12462,12462,10149,9172,7375,5883,4636,3858,3089,2502,2036,1694,1128,888
Italy,2020-03-19,41035,35713,31506,27980,24747,21157,17660,12462,12462,10149,9172,7375,5883,4636,3858,3089,2502,2036,1694,1128
Italy,2020-03-20,47021,41035,35713,31506,27980,24747,21157,17660,12462,12462,10149,9172,7375,5883,4636,3858,3089,2502,2036,1694
Italy,2020-03-21,53578,47021,41035,35713,31506,27980,24747,21157,17660,12462,12462,10149,9172,7375,5883,4636,3858,3089,2502,2036
Italy,2020-03-22,59138,53578,47021,41035,35713,31506,27980,24747,21157,17660,12462,12462,10149,9172,7375,5883,4636,3858,3089,2502
Italy,2020-03-23,63927,59138,53578,47021,41035,35713,31506,27980,24747,21157,17660,12462,12462,10149,9172,7375,5883,4636,3858,3089
Italy,2020-03-24,69176,63927,59138,53578,47021,41035,35713,31506,27980,24747,21157,17660,12462,12462,10149,9172,7375,5883,4636,3858
Italy,2020-03-25,74386,69176,63927,59138,53578,47021,41035,35713,31506,27980,24747,21157,17660,12462,12462,10149,9172,7375,5883,4636
Italy,2020-03-26,80589,74386,69176,63927,59138,53578,47021,41035,35713,31506,27980,24747,21157,17660,12462,12462,10149,9172,7375,5883
Italy,2020-03-27,86498,80589,74386,69176,63927,59138,53578,47021,41035,35713,31506,27980,24747,21157,17660,12462,12462,10149,9172,7375
Italy,2020-03-28,92472,86498,80589,74386,69176,63927,59138,53578,47021,41035,35713,31506,27980,24747,21157,17660,12462,12462,10149,9172
Italy,2020-03-29,97689,92472,86498,80589,74386,69176,63927,59138,53578,47021,41035,35713,31506,27980,24747,21157,17660,12462,12462,10149
Italy,2020-03-30,101739,97689,92472,86498,80589,74386,69176,63927,59138,53578,47021,41035,35713,31506,27980,24747,21157,17660,12462,12462
Italy,2020-03-31,105792,101739,97689,92472,86498,80589,74386,69176,63927,59138,53578,47021,41035,35713,31506,27980,24747,21157,17660,12462
Italy,2020-04-01,110574,105792,101739,97689,92472,86498,80589,74386,69176,63927,59138,53578,47021,41035,35713,31506,27980,24747,21157,17660
Italy,2020-04-02,115242,110574,105792,101739,97689,92472,86498,80589,74386,69176,63927,59138,53578,47021,41035,35713,31506,27980,24747,21157
Italy,2020-04-03,119827,115242,110574,105792,101739,97689,92472,86498,80589,74386,69176,63927,59138,53578,47021,41035,35713,31506,27980,24747
Italy,2020-04-04,124632,119827,115242,110574,105792,101739,97689,92472,86498,80589,74386,69176,63927,59138,53578,47021,41035,35713,31506,27980
Italy,2020-04-05,128948,124632,119827,115242,110574,105792,101739,97689,92472,86498,80589,74386,69176,63927,59138,53578,47021,41035,35713,31506
Italy,2020-04-06,132547,128948,124632,119827,115242,110574,105792,101739,97689,92472,86498,80589,74386,69176,63927,59138,53578,47021,41035,35713
Italy,2020-04-07,135586,132547,128948,124632,119827,115242,110574,105792,101739,97689,92472,86498,80589,74386,69176,63927,59138,53578,47021,41035
Italy,2020-04-08,139422,135586,132547,128948,124632,119827,115242,110574,105792,101739,97689,92472,86498,80589,74386,69176,63927,59138,53578,47021
Italy,2020-04-09,143626,139422,135586,132547,128948,124632,119827,115242,110574,105792,101739,97689,92472,86498,80589,74386,69176,63927,59138,53578
Italy,2020-04-10,147577,143626,139422,135586,132547,128948,124632,119827,115242,110574,105792,101739,97689,92472,86498,80589,74386,69176,63927,59138
Italy,2020-04-11,152271,147577,143626,139422,135586,132547,128948,124632,119827,115242,110574,105792,101739,97689,92472,86498,80589,74386,69176,63927
Italy,2020-04-12,156363,152271,147577,143626,139422,135586,132547,128948,124632,119827,115242,110574,105792,101739,97689,92472,86498,80589,74386,69176
Italy,2020-04-13,159516,156363,152271,147577,143626,139422,135586,132547,128948,124632,119827,115242,110574,105792,101739,97689,92472,86498,80589,74386
Italy,2020-04-14,162488,159516,156363,152271,147577,143626,139422,135586,132547,128948,124632,119827,115242,110574,105792,101739,97689,92472,86498,80589
Italy,2020-04-15,165155,162488,159516,156363,152271,147577,143626,139422,135586,132547,128948,124632,119827,115242,110574,105792,101739,97689,92472,86498
Italy,2020-04-16,168941,165155,162488,159516,156363,152271,147577,143626,139422,135586,132547,128948,124632,119827,115242,110574,105792,101739,97689,92472
Italy,2020-04-17,172434,168941,165155,162488,159516,156363,152271,147577,143626,139422,135586,132547,128948,124632,119827,115242,110574,105792,101739,97689
Italy,2020-04-18,175925,172434,168941,165155,162488,159516,156363,152271,147577,143626,139422,135586,132547,128948,124632,119827,115242,110574,105792,101739
Italy,2020-04-19,178972,175925,172434,168941,165155,162488,159516,156363,152271,147577,143626,139422,135586,132547,128948,124632,119827,115242,110574,105792
Italy,2020-04-20,181228,178972,175925,172434,168941,165155,162488,159516,156363,152271,147577,143626,139422,135586,132547,128948,124632,119827,115242,110574
Italy,2020-04-21,183957,181228,178972,175925,172434,168941,165155,162488,159516,156363,152271,147577,143626,139422,135586,132547,128948,124632,119827,115242
Italy,2020-04-22,187327,183957,181228,178972,175925,172434,168941,165155,162488,159516,156363,152271,147577,143626,139422,135586,132547,128948,124632,119827
Italy,2020-04-23,189973,187327,183957,181228,178972,175925,172434,168941,165155,162488,159516,156363,152271,147577,143626,139422,135586,132547,128948,124632
Italy,2020-04-24,192994,189973,187327,183957,181228,178972,175925,172434,168941,165155,162488,159516,156363,152271,147577,143626,139422,135586,132547,128948
Italy,2020-04-25,195351,192994,189973,187327,183957,181228,178972,175925,172434,168941,165155,162488,159516,156363,152271,147577,143626,139422,135586,132547
Italy,2020-04-26,197675,195351,192994,189973,187327,183957,181228,178972,175925,172434,168941,165155,162488,159516,156363,152271,147577,143626,139422,135586
Italy,2020-04-27,199414,197675,195351,192994,189973,187327,183957,181228,178972,175925,172434,168941,165155,162488,159516,156363,152271,147577,143626,139422
Italy,2020-04-28,201505,199414,197675,195351,192994,189973,187327,183957,181228,178972,175925,172434,168941,165155,162488,159516,156363,152271,147577,143626
Italy,2020-04-29,203591,201505,199414,197675,195351,192994,189973,187327,183957,181228,178972,175925,172434,168941,165155,162488,159516,156363,152271,147577
Italy,2020-04-30,205463,203591,201505,199414,197675,195351,192994,189973,187327,183957,181228,178972,175925,172434,168941,165155,162488,159516,156363,152271
Italy,2020-05-01,207428,205463,203591,201505,199414,197675,195351,192994,189973,187327,183957,181228,178972,175925,172434,168941,165155,162488,159516,156363
Italy,2020-05-02,209328,207428,205463,203591,201505,199414,197675,195351,192994,189973,187327,183957,181228,178972,175925,172434,168941,165155,162488,159516
Italy,2020-05-03,210717,209328,207428,205463,203591,201505,199414,197675,195351,192994,189973,187327,183957,181228,178972,175925,172434,168941,165155,162488
Italy,2020-05-04,211938,210717,209328,207428,205463,203591,201505,199414,197675,195351,192994,189973,187327,183957,181228,178972,175925,172434,168941,165155
Italy,2020-05-05,213013,211938,210717,209328,207428,205463,203591,201505,199414,197675,195351,192994,189973,187327,183957,181228,178972,175925,172434,168941
Italy,2020-05-06,214457,213013,211938,210717,209328,207428,205463,203591,201505,199414,197675,195351,192994,189973,187327,183957,181228,178972,175925,172434
Italy,2020-05-07,215858,214457,213013,211938,210717,209328,207428,205463,203591,201505,199414,197675,195351,192994,189973,187327,183957,181228,178972,175925
Italy,2020-05-08,217185,215858,214457,213013,211938,210717,209328,207428,205463,203591,201505,199414,197675,195351,192994,189973,187327,183957,181228,178972
Italy,2020-05-09,218268,217185,215858,214457,213013,211938,210717,209328,207428,205463,203591,201505,199414,197675,195351,192994,189973,187327,183957,181228
Italy,2020-05-10,219070,218268,217185,215858,214457,213013,211938,210717,209328,207428,205463,203591,201505,199414,197675,195351,192994,189973,187327,183957
Italy,2020-05-11,219814,219070,218268,217185,215858,214457,213013,211938,210717,209328,207428,205463,203591,201505,199414,197675,195351,192994,189973,187327
Italy,2020-05-12,221216,219814,219070,218268,217185,215858,214457,213013,211938,210717,209328,207428,205463,203591,201505,199414,197675,195351,192994,189973
Italy,2020-05-13,222104,221216,219814,219070,218268,217185,215858,214457,213013,211938,210717,209328,207428,205463,203591,201505,199414,197675,195351,192994
Italy,2020-05-14,223096,222104,221216,219814,219070,218268,217185,215858,214457,213013,211938,210717,209328,207428,205463,203591,201505,199414,197675,195351
Canada,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,2020-01-26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,2020-01-27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,2020-01-28,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,2020-01-29,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,2020-01-30,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,2020-01-31,4,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,2020-02-01,4,4,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,2020-02-02,4,4,4,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Canada,2020-02-03,4,4,4,4,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
Canada,2020-02-04,4,4,4,4,4,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0
Canada,2020-02-05,5,4,4,4,4,4,2,2,2,1,1,0,0,0,0,0,0,0,0,0
Canada,2020-02-06,5,5,4,4,4,4,4,2,2,2,1,1,0,0,0,0,0,0,0,0
Canada,2020-02-07,7,5,5,4,4,4,4,4,2,2,2,1,1,0,0,0,0,0,0,0
Canada,2020-02-08,7,7,5,5,4,4,4,4,4,2,2,2,1,1,0,0,0,0,0,0
Canada,2020-02-09,7,7,7,5,5,4,4,4,4,4,2,2,2,1,1,0,0,0,0,0
Canada,2020-02-10,7,7,7,7,5,5,4,4,4,4,4,2,2,2,1,1,0,0,0,0
Canada,2020-02-11,7,7,7,7,7,5,5,4,4,4,4,4,2,2,2,1,1,0,0,0
Canada,2020-02-12,7,7,7,7,7,7,5,5,4,4,4,4,4,2,2,2,1,1,0,0
Canada,2020-02-13,7,7,7,7,7,7,7,5,5,4,4,4,4,4,2,2,2,1,1,0
Canada,2020-02-14,7,7,7,7,7,7,7,7,5,5,4,4,4,4,4,2,2,2,1,1
Canada,2020-02-15,7,7,7,7,7,7,7,7,7,5,5,4,4,4,4,4,2,2,2,1
Canada,2020-02-16,7,7,7,7,7,7,7,7,7,7,5,5,4,4,4,4,4,2,2,2
Canada,2020-02-17,8,7,7,7,7,7,7,7,7,7,7,5,5,4,4,4,4,4,2,2
Canada,2020-02-18,8,8,7,7,7,7,7,7,7,7,7,7,5,5,4,4,4,4,4,2
Canada,2020-02-19,8,8,8,7,7,7,7,7,7,7,7,7,7,5,5,4,4,4,4,4
Canada,2020-02-20,8,8,8,8,7,7,7,7,7,7,7,7,7,7,5,5,4,4,4,4
Canada,2020-02-21,9,8,8,8,8,7,7,7,7,7,7,7,7,7,7,5,5,4,4,4
Canada,2020-02-22,9,9,8,8,8,8,7,7,7,7,7,7,7,7,7,7,5,5,4,4
Canada,2020-02-23,9,9,9,8,8,8,8,7,7,7,7,7,7,7,7,7,7,5,5,4
Canada,2020-02-24,10,9,9,9,8,8,8,8,7,7,7,7,7,7,7,7,7,7,5,5
Canada,2020-02-25,11,10,9,9,9,8,8,8,8,7,7,7,7,7,7,7,7,7,7,5
Canada,2020-02-26,11,11,10,9,9,9,8,8,8,8,7,7,7,7,7,7,7,7,7,7
Canada,2020-02-27,13,11,11,10,9,9,9,8,8,8,8,7,7,7,7,7,7,7,7,7
Canada,2020-02-28,14,13,11,11,10,9,9,9,8,8,8,8,7,7,7,7,7,7,7,7
Canada,2020-02-29,20,14,13,11,11,10,9,9,9,8,8,8,8,7,7,7,7,7,7,7
Canada,2020-03-01,24,20,14,13,11,11,10,9,9,9,8,8,8,8,7,7,7,7,7,7
Canada,2020-03-02,27,24,20,14,13,11,11,10,9,9,9,8,8,8,8,7,7,7,7,7
Canada,2020-03-03,30,27,24,20,14,13,11,11,10,9,9,9,8,8,8,8,7,7,7,7
Canada,2020-03-04,33,30,27,24,20,14,13,11,11,10,9,9,9,8,8,8,8,7,7,7
Canada,2020-03-05,37,33,30,27,24,20,14,13,11,11,10,9,9,9,8,8,8,8,7,7
Canada,2020-03-06,49,37,33,30,27,24,20,14,13,11,11,10,9,9,9,8,8,8,8,7
Canada,2020-03-07,54,49,37,33,30,27,24,20,14,13,11,11,10,9,9,9,8,8,8,8
Canada,2020-03-08,64,54,49,37,33,30,27,24,20,14,13,11,11,10,9,9,9,8,8,8
Canada,2020-03-09,77,64,54,49,37,33,30,27,24,20,14,13,11,11,10,9,9,9,8,8
Canada,2020-03-10,79,77,64,54,49,37,33,30,27,24,20,14,13,11,11,10,9,9,9,8
Canada,2020-03-11,108,79,77,64,54,49,37,33,30,27,24,20,14,13,11,11,10,9,9,9
Canada,2020-03-12,117,108,79,77,64,54,49,37,33,30,27,24,20,14,13,11,11,10,9,9
Canada,2020-03-13,193,117,108,79,77,64,54,49,37,33,30,27,24,20,14,13,11,11,10,9
Canada,2020-03-14,198,193,117,108,79,77,64,54,49,37,33,30,27,24,20,14,13,11,11,10
Canada,2020-03-15,252,198,193,117,108,79,77,64,54,49,37,33,30,27,24,20,14,13,11,11
Canada,2020-03-16,415,252,198,193,117,108,79,77,64,54,49,37,33,30,27,24,20,14,13,11
Canada,2020-03-17,478,415,252,198,193,117,108,79,77,64,54,49,37,33,30,27,24,20,14,13
Canada,2020-03-18,657,478,415,252,198,193,117,108,79,77,64,54,49,37,33,30,27,24,20,14
Canada,2020-03-19,800,657,478,415,252,198,193,117,108,79,77,64,54,49,37,33,30,27,24,20
Canada,2020-03-20,943,800,657,478,415,252,198,193,117,108,79,77,64,54,49,37,33,30,27,24
Canada,2020-03-21,1277,943,800,657,478,415,252,198,193,117,108,79,77,64,54,49,37,33,30,27
Canada,2020-03-22,1469,1277,943,800,657,478,415,252,198,193,117,108,79,77,64,54,49,37,33,30
Canada,2020-03-23,2088,1469,1277,943,800,657,478,415,252,198,193,117,108,79,77,64,54,49,37,33
Canada,2020-03-24,2790,2088,1469,1277,943,800,657,478,415,252,198,193,117,108,79,77,64,54,49,37
Canada,2020-03-25,3251,2790,2088,1469,1277,943,800,657,478,415,252,198,193,117,108,79,77,64,54,49
Canada,2020-03-26,4042,3251,2790,2088,1469,1277,943,800,657,478,415,252,198,193,117,108,79,77,64,54
Canada,2020-03-27,4682,4042,3251,2790,2088,1469,1277,943,800,657,478,415,252,198,193,117,108,79,77,64
Canada,2020-03-28,5576,4682,4042,3251,2790,2088,1469,1277,943,800,657,478,415,252,198,193,117,108,79,77
Canada,2020-03-29,6280,5576,4682,4042,3251,2790,2088,1469,1277,943,800,657,478,415,252,198,193,117,108,79
Canada,2020-03-30,7398,6280,5576,4682,4042,3251,2790,2088,1469,1277,943,800,657,478,415,252,198,193,117,108
Canada,2020-03-31,8527,7398,6280,5576,4682,4042,3251,2790,2088,1469,1277,943,800,657,478,415,252,198,193,117
Canada,2020-04-01,9560,8527,7398,6280,5576,4682,4042,3251,2790,2088,1469,1277,943,800,657,478,415,252,198,193
Canada,2020-04-02,11284,9560,8527,7398,6280,5576,4682,4042,3251,2790,2088,1469,1277,943,800,657,478,415,252,198
Canada,2020-04-03,12437,11284,9560,8527,7398,6280,5576,4682,4042,3251,2790,2088,1469,1277,943,800,657,478,415,252
Canada,2020-04-04,12978,12437,11284,9560,8527,7398,6280,5576,4682,4042,3251,2790,2088,1469,1277,943,800,657,478,415
Canada,2020-04-05,15756,12978,12437,11284,9560,8527,7398,6280,5576,4682,4042,3251,2790,2088,1469,1277,943,800,657,478
Canada,2020-04-06,16563,15756,12978,12437,11284,9560,8527,7398,6280,5576,4682,4042,3251,2790,2088,1469,1277,943,800,657
Canada,2020-04-07,17872,16563,15756,12978,12437,11284,9560,8527,7398,6280,5576,4682,4042,3251,2790,2088,1469,1277,943,800
Canada,2020-04-08,19141,17872,16563,15756,12978,12437,11284,9560,8527,7398,6280,5576,4682,4042,3251,2790,2088,1469,1277,943
Canada,2020-04-09,20654,19141,17872,16563,15756,12978,12437,11284,9560,8527,7398,6280,5576,4682,4042,3251,2790,2088,1469,1277
Canada,2020-04-10,22059,20654,19141,17872,16563,15756,12978,12437,11284,9560,8527,7398,6280,5576,4682,4042,3251,2790,2088,1469
Canada,2020-04-11,23316,22059,20654,19141,17872,16563,15756,12978,12437,11284,9560,8527,7398,6280,5576,4682,4042,3251,2790,2088
Canada,2020-04-12,24299,23316,22059,20654,19141,17872,16563,15756,12978,12437,11284,9560,8527,7398,6280,5576,4682,4042,3251,2790
Canada,2020-04-13,25680,24299,23316,22059,20654,19141,17872,16563,15756,12978,12437,11284,9560,8527,7398,6280,5576,4682,4042,3251
Canada,2020-04-14,27035,25680,24299,23316,22059,20654,19141,17872,16563,15756,12978,12437,11284,9560,8527,7398,6280,5576,4682,4042
Canada,2020-04-15,28209,27035,25680,24299,23316,22059,20654,19141,17872,16563,15756,12978,12437,11284,9560,8527,7398,6280,5576,4682
Canada,2020-04-16,30809,28209,27035,25680,24299,23316,22059,20654,19141,17872,16563,15756,12978,12437,11284,9560,8527,7398,6280,5576
Canada,2020-04-17,32814,30809,28209,27035,25680,24299,23316,22059,20654,19141,17872,16563,15756,12978,12437,11284,9560,8527,7398,6280
Canada,2020-04-18,34356,32814,30809,28209,27035,25680,24299,23316,22059,20654,19141,17872,16563,15756,12978,12437,11284,9560,8527,7398
Canada,2020-04-19,35633,34356,32814,30809,28209,27035,25680,24299,23316,22059,20654,19141,17872,16563,15756,12978,12437,11284,9560,8527
Canada,2020-04-20,37658,35633,34356,32814,30809,28209,27035,25680,24299,23316,22059,20654,19141,17872,16563,15756,12978,12437,11284,9560
Canada,2020-04-21,39402,37658,35633,34356,32814,30809,28209,27035,25680,24299,23316,22059,20654,19141,17872,16563,15756,12978,12437,11284
Canada,2020-04-22,41663,39402,37658,35633,34356,32814,30809,28209,27035,25680,24299,23316,22059,20654,19141,17872,16563,15756,12978,12437
Canada,2020-04-23,43299,41663,39402,37658,35633,34356,32814,30809,28209,27035,25680,24299,23316,22059,20654,19141,17872,16563,15756,12978
Canada,2020-04-24,44919,43299,41663,39402,37658,35633,34356,32814,30809,28209,27035,25680,24299,23316,22059,20654,19141,17872,16563,15756
Canada,2020-04-25,46371,44919,43299,41663,39402,37658,35633,34356,32814,30809,28209,27035,25680,24299,23316,22059,20654,19141,17872,16563
Canada,2020-04-26,48033,46371,44919,43299,41663,39402,37658,35633,34356,32814,30809,28209,27035,25680,24299,23316,22059,20654,19141,17872
Canada,2020-04-27,49616,48033,46371,44919,43299,41663,39402,37658,35633,34356,32814,30809,28209,27035,25680,24299,23316,22059,20654,19141
Canada,2020-04-28,51150,49616,48033,46371,44919,43299,41663,39402,37658,35633,34356,32814,30809,28209,27035,25680,24299,23316,22059,20654
Canada,2020-04-29,52865,51150,49616,48033,46371,44919,43299,41663,39402,37658,35633,34356,32814,30809,28209,27035,25680,24299,23316,22059
Canada,2020-04-30,54457,52865,51150,49616,48033,46371,44919,43299,41663,39402,37658,35633,34356,32814,30809,28209,27035,25680,24299,23316
Canada,2020-05-01,56343,54457,52865,51150,49616,48033,46371,44919,43299,41663,39402,37658,35633,34356,32814,30809,28209,27035,25680,24299
Canada,2020-05-02,57926,56343,54457,52865,51150,49616,48033,46371,44919,43299,41663,39402,37658,35633,34356,32814,30809,28209,27035,25680
Canada,2020-05-03,60504,57926,56343,54457,52865,51150,49616,48033,46371,44919,43299,41663,39402,37658,35633,34356,32814,30809,28209,27035
Canada,2020-05-04,61957,60504,57926,56343,54457,52865,51150,49616,48033,46371,44919,43299,41663,39402,37658,35633,34356,32814,30809,28209
Canada,2020-05-05,63215,61957,60504,57926,56343,54457,52865,51150,49616,48033,46371,44919,43299,41663,39402,37658,35633,34356,32814,30809
Canada,2020-05-06,64694,63215,61957,60504,57926,56343,54457,52865,51150,49616,48033,46371,44919,43299,41663,39402,37658,35633,34356,32814
Canada,2020-05-07,66201,64694,63215,61957,60504,57926,56343,54457,52865,51150,49616,48033,46371,44919,43299,41663,39402,37658,35633,34356
Canada,2020-05-08,67674,66201,64694,63215,61957,60504,57926,56343,54457,52865,51150,49616,48033,46371,44919,43299,41663,39402,37658,35633
Canada,2020-05-09,68918,67674,66201,64694,63215,61957,60504,57926,56343,54457,52865,51150,49616,48033,46371,44919,43299,41663,39402,37658
Canada,2020-05-10,70091,68918,67674,66201,64694,63215,61957,60504,57926,56343,54457,52865,51150,49616,48033,46371,44919,43299,41663,39402
Canada,2020-05-11,71264,70091,68918,67674,66201,64694,63215,61957,60504,57926,56343,54457,52865,51150,49616,48033,46371,44919,43299,41663
Canada,2020-05-12,72419,71264,70091,68918,67674,66201,64694,63215,61957,60504,57926,56343,54457,52865,51150,49616,48033,46371,44919,43299
Canada,2020-05-13,73568,72419,71264,70091,68918,67674,66201,64694,63215,61957,60504,57926,56343,54457,52865,51150,49616,48033,46371,44919
Canada,2020-05-14,74781,73568,72419,71264,70091,68918,67674,66201,64694,63215,61957,60504,57926,56343,54457,52865,51150,49616,48033,46371
Spain,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
